repository,package,fix_commit,commit_message,label,label_old
11ways/hawkejs,codecov,4da569b5a8f00e46e474b33540df0af216e1e60f,Attempt to solve trimming black elements on the browser side,,
2600hz/monster-ui,acorn,0cbda229a4e9d0f44ed3c7f1b6f0e96184baa123,,,
AdguardTeam/AdguardBrowserExtension,mixin-deep,65536d813f7fdb1756a88b21144530de0b792187,"update yarn, scriptlets and build",dependencies,
AdguardTeam/AdguardBrowserExtension,https-proxy-agent,65536d813f7fdb1756a88b21144530de0b792187,"update yarn, scriptlets and build",dependencies,
AdguardTeam/Scriptlets,mixin-deep,4924a55ae8a0118ad0f23ae08d6b1618c5ffe8a0,update dependencies and fix eslint notifications,dependencies,
AresMUSH/ares-webportal,https-proxy-agent,abea55f8dac55074ce161873b6abfa80382b2d39,branch 'dev',,
AresMUSH/ares-webportal,https-proxy-agent,abea55f8dac55074ce161873b6abfa80382b2d39,branch 'dev',,
Backendless/Console-SDK,mixin-deep,82b86163be7fea75689999345be1453e33d43396,- v2.7.24-next-1,,
BoostIO/Boostnote,eslint,27e403108cab69689bc160b8e9b38b7e865cf955,,,
C0deboy/jaki-jezyk-programowania,eslint-utils,97a0e213a54b51b8ff2930b80635d3504a68c48b,updated dependencies and css tweaks,dependencies,
CANDY-LINE/candy-red,mixin-deep,81678271cb2a15388f690959698a2c19baabd44a,Reorganize dependencies,dependencies,
CANDY-LINE/candy-red,handlebars,fee7597dd2b72f39741de7bd2832c2381e3a4573,Bump core and default nodes,dependencies,
CalderaWP/Caldera-Forms,handlebars,73c49d3838cdd61f6af64ec941673526887da94d,merge webpack pr in #3437,,
CalderaWP/Caldera-Forms,acorn,d40c31ce99c7253dcbb060b229ebfec905963f21,Remove duplicate React dependency interference,dependencies,
Caltech-IPAC/firefly,mixin-deep,0a339dd8cb82f497f43ebb8c1b785b3233ede541,"Firefly-451: package.json updates

  - removed all reference to numeral package
  - Allows any version of node v8 or later
  - Most packages updated
  - Packages now locked at their revisions instead of minor releases
  - Babel updated, to most recent, 7.8
  - ESlint updated to most recent, and now better supports ES2020
  - Jest update some, can go to most recent with node 8
  - JSDoc updated to most recent
  - Webpack updated a few revisions, (minor)
  - Other package updated when there is compatibility
  - Cleaned out several unused packages
  - Added `package-json-doc.md` to help better document package.json
  - transformation-matrix-js moved from npm package to externalSource
     - it is not longer supported as a npm package.
  - changed yarn install to yarn install --ignore-platform
     - this is because of a bug in yarn fsevents is an optional dependency
       and if in resolutions, npm works correctly
       see https://github.com/yarnpkg/yarn/pull/7273
  - changed a couple of files of use `?.` to make sure it works
     - optional chaining
  - to update all the url load we have to change the way we reference images
    in css files. we not reference them under ~images instread of /images
  - respond from feedback
  - Small bug fixes:
      - Fixes Firefly-470
      - Fixes Firefly-476
      - Fixes Firefly-477",dependencies,
CarPalFleet/JavaScript-SDK,mixin-deep,2b8e48a71e1fe29fe863739e12911ee9ceeb69c7,Add get list of driver services endpoint,,
ChromeDevTools/debugger-protocol-viewer,mixin-deep,2398b1a577cdac0abc531d32da9cfb16e746f473,remove yarn.lock. we using npm now,dependencies,
City-of-Helsinki/mvj-ui,codecov,58a46c04b8793eb30decada60c040faaa67d9c91,area unit fixes,,
City-of-Helsinki/mvj-ui,acorn,a3a411e9c6b0d341a3ee7d7ec36f51488ad1c26a,upgraded depencies to latest,dependencies,
CivicActions/civicactions.com,axios,5bdab8c14fac065816820899fc1d6c9d009f2eed,CA-477: Upgrade Gatsby and dependencies.,dependencies,
CodyJasonBennett/portfolio,eslint-utils,dfdccec1bc854e5337b6d4326f0572332d78a52f,,,
DBCDK/content-first,knex,3365dd3534d88b86cde39096f932ecf115002d38,,,
EDM-Spot/OtterBot,mixin-deep,6a2f4b9ea89b7cf9e7be211f04e29ec3e063327d,update,,
EdgeApp/edge-core-js,acorn,28e5a80275c8080f66e5bd1abe19d52351b33684,Upgrade devDependencies,dependencies,
EdgeApp/edge-currency-accountbased,acorn,f5a0a124735f783aa6bba5dd3cedc9e1c64d066d,Update devDependencies,dependencies,
ErikVerheul/OneBacklog,acorn,d8ede7c8c45d8a2fc23e738222d8e0e7c8989c76,NPM update + npm install,dependencies,
ErikVerheul/OneBacklog,jquery,37919f166bccf13683924228c37365167a9d625c,dependabot[bot] <support@github.com> suggestion implemented,dependabot,
ErikVerheul/OneBacklog,jquery,37919f166bccf13683924228c37365167a9d625c,dependabot[bot] <support@github.com> suggestion implemented,dependabot,
ExploreConsulting/netsuite-fasttrack-toolkit-ss2,mixin-deep,85e3cfc0d79a7532e94df870eac14fc8c832026b,rerun npm install - without any links to the old Explore Artifactory server.,dependencies,
Faithlife/styled-ui,mixin-deep,feaa2131daeb8220b7c7eedb15c74fbd91356c5d,,,
Frontify/sketch,acorn,699a169adea90063f19b9c4aec119b9935841484,"Add @babel/plugin-transform-runtime"",""@babel/plugin-syntax-async-generators, Update ""@skpm/builder""

Signed-off-by: jonasbuechel <jonas@frontify.com>",dependencies,
GetStream/stream-chat-react,acorn,3d131ba63bae2d51f5b4244b4608d1dabaf10e52,Updating stream-chat version,dependencies,
GetStream/stream-chat-react,acorn,18874520e77751b0db1776ad3b1c5d664342ccd7,remove old example apps,,
GetStream/stream-chat-react,acorn,18874520e77751b0db1776ad3b1c5d664342ccd7,remove old example apps,,
GetStream/stream-chat-react,acorn,18874520e77751b0db1776ad3b1c5d664342ccd7,remove old example apps,,
GetStream/stream-chat-react,acorn,31bbda5c2d328c6e43538a07ac95bd0a31b2f1f1,merge master,,
HSLdevcom/hsl-map-publisher,acorn,28040764baca1b484af80365f861a54e17b5dffd,yarn.lock update,dependencies,
Integreat/integreat-webapp,mixin-deep,287604844fe0ce18047a03b5f94bc378be38eea5,NATIVE-508: Upgrade all dependencies according to their ranges in package.json,dependencies,
LedgerHQ/ledgerjs,mixin-deep,365a9620b2a0e20478ff731cc7ba48c395f5031e,Upgrade dependencies,dependencies,
Neko250/rlspain,mixin-deep,08b8fdf5d07e3fd8ac07e3ff4ffda4e25ba22ab1,refactor: migrate to yarn,dependencies,
OpenKnowledgeMaps/Headstart,bootstrap,f6ba2f7c7acacb72500d81ea56a10747f219082c,,,
OpenKnowledgeMaps/Headstart,bootstrap,f6ba2f7c7acacb72500d81ea56a10747f219082c,,,
OpenKnowledgeMaps/Headstart,bootstrap,f6ba2f7c7acacb72500d81ea56a10747f219082c,,,
OpenNeuroOrg/openneuro,codecov,4521dffd47e2873084ba962eb031935870105311,Remove unused codecov dev dep from openneuro-server,dependencies,
Optum/mockiato,https-proxy-agent,bc6650af2bcf62ac7298327d8cfded4a5d6e68a9,dependencies security vulnerabilities,dependencies+security,
OrangeXC/gank,codecov,9800cfc30d2baacc3870f3eb344bb27812592200,Upgrade packages,dependencies,
Paturages/chorus,acorn,a11d98cec8011909cebf3ed58dd5f3518b551605,Update dependencies,dependencies,
Paturages/chorus,https-proxy-agent,a11d98cec8011909cebf3ed58dd5f3518b551605,Update dependencies,dependencies,
RobinHerbots/Inputmask,mixin-deep,378a7d171d3b9983b3039d356f4041ee55532194,cleanup dependencylib code etc,dependencies,
SparkPost/matchbox,mixin-deep,d7e97c31e7d15151c7484cf2aa239fd4a0da2ec4,"Add routes, layout, placeholder pages",,
StatEngine/stat-engine,webpack-bundle-analyzer,ae4c2f15d97bb7bbe63d3c2acef40ad9d5bf4af3,npm audit fixes,dependencies,
StraboSpot/strabo-mobile,mixin-deep,e6413b2542760a4034010aad6d7bede5ecc02e98,Security Fix: mixin-deep,security,
StraboSpot/strabo-mobile,eslint,72e4895b8d2a82468680e8989c4b73415961b84e,Security Fix: eslint,security,
StraboSpot/strabo-mobile,tar,afc3367bbc6fc00aa3f0ff96cc32b29886d476d0,Security Fix: tar,security,
TankerHQ/sdk-js,codecov,5f8b774afab855ba369677406d06931ec2fdff89,"chore(deps): bump codecov

fixes:
https://github.com/advisories/GHSA-5q88-cjfq-g2mh",dependencies+security,
Thorium-Sim/thorium,mixin-deep,f68377f73b4798f44a20e021f2d7b26c620ca1c7,"Moved everything to be a single package, instead of split between client and server. Lots of things are broken, probably beacause of dependency issues.",dependencies,
algenty/grafana-flowcharting,acorn,17c89c1e3314a4a145082ffeac16deca68f9459f,backup snapshot,,
b2wads/grimorio-ui,webpack-bundle-analyzer,ed113cff4730a228882111fc288d843372a6dc97,fix Ajusta questões de vulnerabilidade de versão,security,
baukh789/GridManager,acorn,2333e91817796b56cda169ed8cff7fbf5713b752,禁用边框线时，宽度调整开启hover状态，y轴滚动条增加最小显示高度,,
brion/ogv.js,mixin-deep,f5e6c55422b9dbad8b791e93fb6a7bbe797ba2b0,npm audit fix,dependencies,
brion/ogv.js,acorn,ef057805eb5cb89ef8fc2fc11f6d9cea16d1a2d1,npm audit fix,dependencies,
bunq/doc,mixin-deep,2b74ebfc2a622ebec86f5c3d17ce7d1dbb1b31c8,Updated yarn.lock,dependencies,
bunq/doc,eslint-utils,4c08456139f07f5dab28605f6f8831f3985602d3,Updated dependencies.,dependencies,
bunq/doc,acorn,2b74ebfc2a622ebec86f5c3d17ce7d1dbb1b31c8,Updated yarn.lock,dependencies,
carbon-design-system/gatsby-theme-carbon,acorn,28288dbc6eb8f76ddb1828de5b42060682ae601f,,,
catarse/catarse.js,acorn,3781c6a42c0d1b63a8ab832ec24745c79a6dd753,redist,,
catdad/raw-viewer,acorn,b13a5e1d85525480808c5b35de2c0d8099c0ca39,updating internal dependencies,dependencies,
chteuchteu/MaterialDesignIcons-Picker,mixin-deep,f344b4b89e29484021f36050c3f2d7f8bbb49a18,Dependencies update,dependencies,
cibernox/ember-power-select,acorn,5272dec31dab38b915b3eda99f910f867f59d55d,Ensure @selected is a plain array everywhere,,
cityofaustin/janis,acorn,ce18c634b12c258523913af191649d7170154d28,updating yarn,dependencies,
codaxy/cxjs,acorn,bb3708e3382b32cb8d1e8e471a094a3bd3056434,Fresh yarn instsall,dependencies,
congrea/virtualclass,mixin-deep,46615f1b5a675c8356ccdc14ebe078a371937259,Fix style issues,,
congrea/virtualclass,eslint-utils,5f70deab639a8a061b87f9c3f5e9a41f5a3bb34b,design for  firefox browser,,
ctrlo/GADS,serialize-javascript,bfa6528175ca20221c35dc3e9a300130ef02a701,Update yarn.lock,dependencies,
date-fns/date-fns,lodash,451bfcab05f48aed59ae83c0a0effc9046f7399e,,,
date-fns/date-fns,lodash,451bfcab05f48aed59ae83c0a0effc9046f7399e,,,
date-fns/date-fns,lodash,451bfcab05f48aed59ae83c0a0effc9046f7399e,,,
date-fns/date-fns,lodash,451bfcab05f48aed59ae83c0a0effc9046f7399e,,,
dcos/dcos-website,eslint,1840f961179b5b8af4f524667db00d069f3a406a,Update for 1.12.5 release and security fix,dependencies+security,
decred/decrediton,acorn,e2dcd39a6f009f8a9fdcbf0cf4765a15e86f259a,,,
eBay/ebayui-core,https-proxy-agent,6688b48e4c2d8da139a3e7d6d041d66072795171,"Upgraded https-proxy-agent
Original PR #1097",dependabot,
ebi-webcomponents/nightingale,https-proxy-agent,3e582b8efb44b6152ae0c52d2e4f1e9dd6731936,new component for alignments,,
ebshimizu/stats-of-the-storm,mixin-deep,b898b47a37b2d97985870c722dd748a0f9cf10eb,"readme, package updates",dependencies,
ebshimizu/stats-of-the-storm,https-proxy-agent,b898b47a37b2d97985870c722dd748a0f9cf10eb,"readme, package updates",dependencies,
eggheadio/how-to-egghead,eslint-utils,632f85f6c1fbe85c7a1501d34a15bbd1292961d6,setup theme-ui and make some visual improvements,,
elastic/apm-agent-rum-js,codecov,6929cb3d461e24a29fa5c1fe91e0e830bd4c6d19,,,
entrylabs/entry-hw,acorn,9d3b5fe08f4da26f5b5c5126d01dce2a89c1f5a5,"[security] eslint, webpack 버전 업데이트",security,
facebook/metro,eslint-utils,fcd01483f505ded1c7a671267a5efb09bf8ecb6b,"New yarn.lock file

Reviewed By: hramos

Differential Revision: D20558089

fbshipit-source-id: 5dd7d5ebfd2507e2b2d353458f1cd70d8aa31c14",dependencies,
facebook/metro,mixin-deep,fcd01483f505ded1c7a671267a5efb09bf8ecb6b,"New yarn.lock file

Reviewed By: hramos

Differential Revision: D20558089

fbshipit-source-id: 5dd7d5ebfd2507e2b2d353458f1cd70d8aa31c14",dependencies,
facebook/metro,mixin-deep,fcd01483f505ded1c7a671267a5efb09bf8ecb6b,"New yarn.lock file

Reviewed By: hramos

Differential Revision: D20558089

fbshipit-source-id: 5dd7d5ebfd2507e2b2d353458f1cd70d8aa31c14",dependencies,
facebook/metro,codecov,c6926a9b259c233ab59e9cd63d528248f74eb610,"Fix security vulnerabilities in third-party dependencies

Summary:
This upgrades or removes some dependencies that have been known to have security vulnerabilities.

I removed a bunch of scripts that we don't use internally at FB and are leftovers from 2017 when I created the Metro monorepo structure by copying Jest. The watch script isn't useful as we run Metro from source at FB and tests are compiling Metro properly with Jest.

Reviewed By: GijsWeterings

Differential Revision: D20693156

fbshipit-source-id: 4e74df48d24a6e437f003e25189b0f4fa5e2cd2e",dependencies+security,
facebook/metro,acorn,fcd01483f505ded1c7a671267a5efb09bf8ecb6b,"New yarn.lock file

Reviewed By: hramos

Differential Revision: D20558089

fbshipit-source-id: 5dd7d5ebfd2507e2b2d353458f1cd70d8aa31c14",dependencies,
facebook/relay,acorn,99765fbc7b1de14c335bf1435b7f8aa8d6952b28,"Bump yarn.lock (#3067)

Summary:
Deleted the yarn.lock and re-created it by running yarn, should fix some security advisories one of which is ""critical"".

Pull Request resolved: https://github.com/facebook/relay/pull/3067

Test Plan: Wait for OSS CI signal.

Reviewed By: jstejada

Differential Revision: D21223572

Pulled By: kassens

fbshipit-source-id: 648ff00e927b633b357b27cea232d482bffc08ca",security,
finos/perspective,lodash,12fa29a19cab1ed7f2e381809e264dfb87affde1,Fix lodash version,dependencies,
flussonic/mse-player,acorn,0ec7ee5382654c5054dda9df2b44f32fb81f4555,v20.4.2,,dependencies
fortinet/fortigate-autoscale,eslint-utils,053948e1373611f01ceb0b305c9aa5377dc6028a,"regular update for node package security check

Change-Id: Ib603d90c80df3198d48956571111c8d289fa0912",dependencies+security,
fortinet/fortigate-autoscale,eslint-utils,4b1ffa5678d7fd40775b3ef5d42a78ef2c7216a1,"bump version to 2.0.8 (as well as in each modules)

Change-Id: Ief8d2c83da942e16d0a420d8f6f24204093214f6",dependencies,
fortinet/fortigate-autoscale,acorn,75fa0cd7c555fc0cd59be41a46c037477cae08cd,"remove aws portion

Change-Id: Id39d400ea619cd452a6668d575a825b25142b328",,
fortinet/fortigate-autoscale,acorn,75fa0cd7c555fc0cd59be41a46c037477cae08cd,"remove aws portion

Change-Id: Id39d400ea619cd452a6668d575a825b25142b328",,
fortinet/fortigate-autoscale,acorn,4b1ffa5678d7fd40775b3ef5d42a78ef2c7216a,"bump version to 2.0.8 (as well as in each modules)

Change-Id: Ief8d2c83da942e16d0a420d8f6f24204093214f6",dependencies,
fortinet/fortigate-autoscale,acorn,4b1ffa5678d7fd40775b3ef5d42a78ef2c7216a,"bump version to 2.0.8 (as well as in each modules)

Change-Id: Ief8d2c83da942e16d0a420d8f6f24204093214f6",dependencies,
fortinet/fortigate-autoscale,acorn,4b1ffa5678d7fd40775b3ef5d42a78ef2c7216a,"bump version to 2.0.8 (as well as in each modules)

Change-Id: Ief8d2c83da942e16d0a420d8f6f24204093214f6",dependencies,
fortinet/fortigate-autoscale,acorn,4b1ffa5678d7fd40775b3ef5d42a78ef2c7216a,"bump version to 2.0.8 (as well as in each modules)

Change-Id: Ief8d2c83da942e16d0a420d8f6f24204093214f6",dependencies,
fortinet/fortigate-autoscale,acorn,75fa0cd7c555fc0cd59be41a46c037477cae08cd,"remove aws portion

Change-Id: Id39d400ea619cd452a6668d575a825b25142b328",,
gfxfundamentals/threejsfundamentals,ecstatic,ce8d6c9a9737e68c51d687592d30025237840a24,update deps,dependencies,
gfxfundamentals/threejsfundamentals,mixin-deep,ce8d6c9a9737e68c51d687592d30025237840a24,update deps,dependencies,
gridsome/gridsome,mixin-deep,1d59cb0364ba5ff7330893d17941cbe370bc726d,chore(deps): update yarn lock,dependencies,
grommet/grommet,acorn,ae799c4251476afc3aa8db50b2dc0694b1eb6020,,,
haiwen/seafile-js,mixin-deep,a9fbf6228bef9576c93a7abc0c05135f5f648309,update dependencies,dependencies,
hyperledger/blockchain-explorer,mixin-deep,791db7b86502900ad9fdaf001c8852fd9841d1e8,"[BE-693] Update packages

Change-Id: Iec863ac64d794b0a50ad32b0644011b24f301f55
Signed-off-by: Ry Jones <ry@linux.com>",dependencies,
